student_id,subject,year,assignment_score,test_score
1,Math,2021,62.7951106810779,63.7020797777963
1,English,2021,50.1108350392528,64.365869867996
1,Science,2021,54.29538246142,73.4316640911055
1,History,2021,50,50
1,Art,2021,55.0425110429721,60.6677999736188
1,Math,2022,50.0909529055017,67.2495859373369
1,English,2022,57.742066023264,74.7359576707623
1,Science,2022,63.4135425850469,74.1052354723303
1,History,2022,53.0135370193019,50
1,Art,2022,61.8361873209268,98.9318670095056
1,Math,2023,61.4963922677959,55.7618686943039
1,English,2023,68.9252111976943,53.0816736274599
1,Science,2023,50,70.1972804015882
1,History,2023,54.2532058839791,57.1310910773793
1,Art,2023,62.6055845143705,89.8718565127286
2,Math,2021,68.0891191437091,63.1855856928524
2,English,2021,61.8940320769694,50
2,Science,2021,71.3338385725635,65.0842759371947
2,History,2021,72.1590883347518,76.614705560926
2,Art,2021,86.6025593743932,81.9350945539196
2,Math,2022,51.6863080803899,71.8877211086486
2,English,2022,58.7520207343973,71.1147278762989
2,Science,2022,56.97518585946,84.7278407633543
2,History,2022,63.9279530604058,64.9054980509508
2,Art,2022,84.3205274906594,60.5411037435523
2,Math,2023,62.034013161773,59.3181480832359
2,English,2023,66.1161092580374,72.9941820774243
2,Science,2023,81.6574984720507,58.9234563714688
2,History,2023,54.5383741675111,50
2,Art,2023,55.8780525434401,60.5723231128233
3,Math,2021,58.0660550764946,65.1646239916918
3,English,2021,50,56.8071976538783
3,Science,2021,50,71.8767746787905
3,History,2021,69.371509344203,59.8013530645732
3,Art,2021,51.2290912917593,59.2448054221717
3,Math,2022,53.869999994377,78.7064197209437
3,English,2022,50,50.2297424371873
3,Science,2022,59.171117733934,50
3,History,2022,62.7493654474015,54.2240246825645
3,Art,2022,60.0008830798556,73.3409143289522
3,Math,2023,52.9458213988982,50
3,English,2023,50,68.31704122009
3,Science,2023,54.6116763735842,65.6491511707415
3,History,2023,50,63.2723844207119
3,Art,2023,72.76901885406,50
4,Math,2021,76.4137811182498,88.9869107861569
4,English,2021,73.3086610032403,84.3881390420476
4,Science,2021,70.3480735905431,62.060821179003
4,History,2021,70.9862323564859,78.2396972934351
4,Art,2021,62.0306296983197,75.4645731241153
4,Math,2022,74.3379570947912,59.6001584947814
4,English,2022,78.1519911344324,50
4,Science,2022,78.5075869341525,63.8490218592834
4,History,2022,75.0516081183461,69.7491563265601
4,Art,2022,84.0663355290952,72.2707975694869
4,Math,2023,78.921683604898,59.8196149442621
4,English,2023,92.6800813365858,63.7269080866141
4,Science,2023,79.478983390798,66.5990454766954
4,History,2023,77.5441233464442,85.2876994250481
4,Art,2023,72.3922197007459,69.419008445506
5,Math,2021,88.9670438515293,78.6124484744277
5,English,2021,82.3731077269642,68.0130218423217
5,Science,2021,66.3016746533501,74.9967484881099
5,History,2021,76.970383691235,74.7898778174339
5,Art,2021,52.6793068760292,68.8301474630396
5,Math,2022,91.1235728155298,58.9552473055049
5,English,2022,91.1924017356348,80.4891917627339
5,Science,2022,93.6459895347274,55.9544771423446
5,History,2022,100,100
5,Art,2022,62.2484012323585,64.9199581339535
5,Math,2023,84.4613734556879,87.9245177107209
5,English,2023,69.9606337836122,88.3058254827299
5,Science,2023,76.8581613488636,71.2778273033289
5,History,2023,94.2042216528596,100
5,Art,2023,85.7481321087193,74.6957849348904
6,Math,2021,69.6257481527426,81.1631373758777
6,English,2021,92.5365156133307,90.2771894630954
6,Science,2021,73.9367569170043,79.5192466683433
6,History,2021,80.0429292164533,79.0044213563487
6,Art,2021,79.4252243196446,90.0337016718932
6,Math,2022,81.5241085420149,78.1925943014647
